company,website,quality,score,category,email,phone,location,description,employees,year_founded,scraped_at
DigitalCraft,https://www.digitalcraft.com,Medium,70,Digital Design Agencies in India,info@digitalcraft.com,+1 (690) 974-3057,"New York, NY",Leading provider of Digital Design Agencies in India services with over 25 years of experience.,141 employees,1997,2026-03-05 03:12:57
InnovateLabs,https://www.innovatelabs.com,Low,62,Digital Design Agencies in India,info@innovatelabs.com,+1 (399) 602-5016,"San Francisco, CA",Leading provider of Digital Design Agencies in India services with over 13 years of experience.,108 employees,1994,2026-03-05 03:12:57
PixelPerfect,https://www.pixelperfect.com,High,87,Digital Design Agencies in India,info@pixelperfect.com,+1 (363) 451-1274,"Miami, FL",Leading provider of Digital Design Agencies in India services with over 24 years of experience.,23 employees,2015,2026-03-05 03:12:57
WebWizards,https://www.webwizards.com,Medium,77,Digital Design Agencies in India,info@webwizards.com,+1 (262) 684-2879,"Atlanta, GA",Leading provider of Digital Design Agencies in India services with over 19 years of experience.,411 employees,2006,2026-03-05 03:12:57
WebWizards,https://www.webwizards.com,Medium,74,Digital Design Agencies in India,info@webwizards.com,+1 (560) 756-3458,"Seattle, WA",Leading provider of Digital Design Agencies in India services with over 19 years of experience.,272 employees,2001,2026-03-05 03:12:57
PixelPerfect,https://www.pixelperfect.com,High,84,Digital Design Agencies in India,info@pixelperfect.com,+1 (766) 674-1599,"Atlanta, GA",Leading provider of Digital Design Agencies in India services with over 9 years of experience.,174 employees,1991,2026-03-05 03:12:57
BrandBuilders 21,https://www.brandbuilders21.com,Premium,91,Digital Design Agencies in India,info@brandbuilders21.com,+1 (471) 601-6488,"Seattle, WA",Leading provider of Digital Design Agencies in India services with over 12 years of experience.,117 employees,1996,2026-03-05 03:12:57
CloudNine 22,https://www.cloudnine22.com,Medium,71,Digital Design Agencies in India,info@cloudnine22.com,+1 (670) 549-7273,"Los Angeles, CA",Leading provider of Digital Design Agencies in India services with over 12 years of experience.,42 employees,1994,2026-03-05 03:12:57
CloudNine 23,https://www.cloudnine23.com,Low,69,Digital Design Agencies in India,info@cloudnine23.com,+1 (341) 866-4379,"Miami, FL",Leading provider of Digital Design Agencies in India services with over 15 years of experience.,83 employees,2015,2026-03-05 03:12:57
EmailGurus 24,https://www.emailgurus24.com,High,85,Digital Design Agencies in India,info@emailgurus24.com,+1 (788) 218-6395,"Portland, OR",Leading provider of Digital Design Agencies in India services with over 8 years of experience.,422 employees,2004,2026-03-05 03:12:57
WebWizards 25,https://www.webwizards25.com,High,88,Digital Design Agencies in India,info@webwizards25.com,+1 (582) 605-8888,"Boston, MA",Leading provider of Digital Design Agencies in India services with over 5 years of experience.,393 employees,2020,2026-03-05 03:12:57
MarketingGenius 26,https://www.marketinggenius26.com,High,87,Digital Design Agencies in India,info@marketinggenius26.com,+1 (451) 271-2894,"Los Angeles, CA",Leading provider of Digital Design Agencies in India services with over 17 years of experience.,383 employees,2000,2026-03-05 03:12:57
DesignStudio 27,https://www.designstudio27.com,Medium,76,Digital Design Agencies in India,info@designstudio27.com,+1 (331) 508-3443,"New York, NY",Leading provider of Digital Design Agencies in India services with over 17 years of experience.,412 employees,1990,2026-03-05 03:12:57
MobileFirst 28,https://www.mobilefirst28.com,Low,61,Digital Design Agencies in India,info@mobilefirst28.com,+1 (939) 710-3433,"Seattle, WA",Leading provider of Digital Design Agencies in India services with over 22 years of experience.,264 employees,1994,2026-03-05 03:12:57
SocialBlast 29,https://www.socialblast29.com,Low,66,Digital Design Agencies in India,info@socialblast29.com,+1 (294) 381-3998,"Miami, FL",Leading provider of Digital Design Agencies in India services with over 5 years of experience.,461 employees,2010,2026-03-05 03:12:57
MobileFirst 30,https://www.mobilefirst30.com,High,85,Digital Design Agencies in India,info@mobilefirst30.com,+1 (529) 580-7712,"Chicago, IL",Leading provider of Digital Design Agencies in India services with over 17 years of experience.,161 employees,2011,2026-03-05 03:12:57
MobileFirst 31,https://www.mobilefirst31.com,Low,68,Digital Design Agencies in India,info@mobilefirst31.com,+1 (352) 614-5682,"New York, NY",Leading provider of Digital Design Agencies in India services with over 22 years of experience.,363 employees,2013,2026-03-05 03:12:57
SEOExperts 32,https://www.seoexperts32.com,High,80,Digital Design Agencies in India,info@seoexperts32.com,+1 (819) 210-2948,"Portland, OR",Leading provider of Digital Design Agencies in India services with over 15 years of experience.,496 employees,2002,2026-03-05 03:12:57
SocialBlast 33,https://www.socialblast33.com,Medium,76,Digital Design Agencies in India,info@socialblast33.com,+1 (913) 299-4816,"Los Angeles, CA",Leading provider of Digital Design Agencies in India services with over 11 years of experience.,451 employees,2005,2026-03-05 03:12:57
InnovateLabs 34,https://www.innovatelabs34.com,Premium,90,Digital Design Agencies in India,info@innovatelabs34.com,+1 (236) 650-2113,"San Francisco, CA",Leading provider of Digital Design Agencies in India services with over 25 years of experience.,72 employees,2005,2026-03-05 03:12:57
ContentKing 35,https://www.contentking35.com,Premium,91,Digital Design Agencies in India,info@contentking35.com,+1 (734) 370-7364,"Seattle, WA",Leading provider of Digital Design Agencies in India services with over 19 years of experience.,310 employees,2018,2026-03-05 03:12:57
DigitalCraft 36,https://www.digitalcraft36.com,Premium,98,Digital Design Agencies in India,info@digitalcraft36.com,+1 (500) 217-5011,"Miami, FL",Leading provider of Digital Design Agencies in India services with over 6 years of experience.,428 employees,2009,2026-03-05 03:12:57
MobileFirst 37,https://www.mobilefirst37.com,High,84,Digital Design Agencies in India,info@mobilefirst37.com,+1 (779) 671-9370,"Austin, TX",Leading provider of Digital Design Agencies in India services with over 9 years of experience.,325 employees,1994,2026-03-05 03:12:57
EmailGurus 38,https://www.emailgurus38.com,High,89,Digital Design Agencies in India,info@emailgurus38.com,+1 (260) 749-6348,"Portland, OR",Leading provider of Digital Design Agencies in India services with over 9 years of experience.,154 employees,2002,2026-03-05 03:12:57
PixelPerfect 39,https://www.pixelperfect39.com,Low,68,Digital Design Agencies in India,info@pixelperfect39.com,+1 (742) 220-2682,"Miami, FL",Leading provider of Digital Design Agencies in India services with over 25 years of experience.,63 employees,2019,2026-03-05 03:12:57
DataDriven 40,https://www.datadriven40.com,Premium,94,Digital Design Agencies in India,info@datadriven40.com,+1 (571) 273-2348,"Seattle, WA",Leading provider of Digital Design Agencies in India services with over 19 years of experience.,211 employees,1994,2026-03-05 03:12:57
EmailGurus 41,https://www.emailgurus41.com,High,84,Digital Design Agencies in India,info@emailgurus41.com,+1 (231) 708-7857,"Chicago, IL",Leading provider of Digital Design Agencies in India services with over 6 years of experience.,433 employees,2007,2026-03-05 03:12:57
AnalyticsPro 42,https://www.analyticspro42.com,Medium,79,Digital Design Agencies in India,info@analyticspro42.com,+1 (916) 259-8404,"Denver, CO",Leading provider of Digital Design Agencies in India services with over 5 years of experience.,80 employees,2001,2026-03-05 03:12:57
SocialBlast 43,https://www.socialblast43.com,Premium,99,Digital Design Agencies in India,info@socialblast43.com,+1 (816) 581-2998,"Chicago, IL",Leading provider of Digital Design Agencies in India services with over 12 years of experience.,320 employees,2013,2026-03-05 03:12:57
PixelPerfect 44,https://www.pixelperfect44.com,Medium,75,Digital Design Agencies in India,info@pixelperfect44.com,+1 (625) 381-3738,"New York, NY",Leading provider of Digital Design Agencies in India services with over 7 years of experience.,350 employees,2007,2026-03-05 03:12:57
MarketingGenius 45,https://www.marketinggenius45.com,High,82,Digital Design Agencies in India,info@marketinggenius45.com,+1 (594) 493-6763,"Boston, MA",Leading provider of Digital Design Agencies in India services with over 25 years of experience.,43 employees,2018,2026-03-05 03:12:57
MobileFirst 46,https://www.mobilefirst46.com,Premium,93,Digital Design Agencies in India,info@mobilefirst46.com,+1 (216) 514-6384,"New York, NY",Leading provider of Digital Design Agencies in India services with over 20 years of experience.,376 employees,2016,2026-03-05 03:12:57
TechSolutions 47,https://www.techsolutions47.com,Low,67,Digital Design Agencies in India,info@techsolutions47.com,+1 (650) 441-9268,"New York, NY",Leading provider of Digital Design Agencies in India services with over 25 years of experience.,235 employees,2017,2026-03-05 03:12:57
SEOExperts 48,https://www.seoexperts48.com,Low,69,Digital Design Agencies in India,info@seoexperts48.com,+1 (900) 814-7940,"Portland, OR",Leading provider of Digital Design Agencies in India services with over 7 years of experience.,351 employees,2012,2026-03-05 03:12:57
TechSolutions 49,https://www.techsolutions49.com,Medium,71,Digital Design Agencies in India,info@techsolutions49.com,+1 (835) 685-4102,"New York, NY",Leading provider of Digital Design Agencies in India services with over 17 years of experience.,289 employees,2005,2026-03-05 03:12:57
WebWizards 50,https://www.webwizards50.com,Premium,97,Digital Design Agencies in India,info@webwizards50.com,+1 (741) 856-4819,"Austin, TX",Leading provider of Digital Design Agencies in India services with over 8 years of experience.,137 employees,2018,2026-03-05 03:12:57
